DOR Code,Municipality,Year,Single Family Values,Single Family Parcels,Average Single Family Value ,Single Family Tax Bill*,Rank**
030,Beverly,2009,3734494300.00 ,8358.00 ,446817.00 ,4852.00 ,81
030,Beverly,2010,3601199300.00 ,8366.00 ,430457.00 ,5006.00 ,79
030,Beverly,2011,3531861200.00 ,8384.00 ,421262.00 ,5228.00 ,79
030,Beverly,2012,3518774100.00 ,8397.00 ,419051.00 ,5435.00 ,80
030,Beverly,2013,3427872900.00 ,8402.00 ,407983.00 ,5565.00 ,80
030,Beverly,2014,3436336500.00 ,8416.00 ,408310.00 ,5782.00 ,82
030,Beverly,2015,3564089100.00 ,8428.00 ,422887.00 ,5967.00 ,80
030,Beverly,2016,3585538400.00 ,8448.00 ,424425.00 ,6107.00 ,82
030,Beverly,2017,3714904900.00 ,8468.00 ,438699.00 ,6265.00 ,
031,Billerica,2009,3669508000.00 ,10707.00 ,342720.00 ,3958.00 ,135
031,Billerica,2010,3488907800.00 ,10722.00 ,325397.00 ,4077.00 ,137
031,Billerica,2011,3383834100.00 ,10736.00 ,315186.00 ,4246.00 ,134
031,Billerica,2012,3369255000.00 ,10742.00 ,313652.00 ,4366.00 ,138
031,Billerica,2013,3355108500.00 ,10746.00 ,312219.00 ,4468.00 ,141
031,Billerica,2014,3437155800.00 ,10756.00 ,319557.00 ,4566.00 ,143
031,Billerica,2015,3505742000.00 ,10786.00 ,325027.00 ,4563.00 ,158
031,Billerica,2016,3577798600.00 ,10803.00 ,331186.00 ,4683.00 ,163
031,Billerica,2017,3673750800.00 ,10819.00 ,339565.00 ,4784.00 ,
032,Blackstone,2009,566007400.00 ,2003.00 ,282580.00 ,3538.00 ,171
032,Blackstone,2010,535211000.00 ,2005.00 ,266938.00 ,3750.00 ,166
032,Blackstone,2011,513448900.00 ,2017.00 ,254561.00 ,3948.00 ,158
032,Blackstone,2012,487924300.00 ,2023.00 ,241188.00 ,4081.00 ,159
032,Blackstone,2013,475805000.00 ,2033.00 ,234041.00 ,4210.00 ,159
032,Blackstone,2014,478415400.00 ,2045.00 ,233944.00 ,4405.00 ,158
032,Blackstone,2015,485517400.00 ,2059.00 ,235803.00 ,4593.00 ,154
032,Blackstone,2016,510075800.00 ,2068.00 ,246652.00 ,4770.00 ,157
032,Blackstone,2017,531669100.00 ,2086.00 ,254875.00 ,4909.00 ,
033,Blandford,2009,115887600.00 ,521.00 ,222433.00 ,2874.00 ,255
033,Blandford,2010,111754700.00 ,499.00 ,223957.00 ,2826.00 ,274
033,Blandford,2011,111090400.00 ,501.00 ,221737.00 ,2945.00 ,266
033,Blandford,2012,108827700.00 ,502.00 ,216788.00 ,3009.00 ,270
033,Blandford,2013,107279400.00 ,505.00 ,212434.00 ,3121.00 ,265
033,Blandford,2014,105876900.00 ,503.00 ,210491.00 ,3221.00 ,270
033,Blandford,2015,106590300.00 ,506.00 ,210653.00 ,3252.00 ,276
033,Blandford,2016,109101400.00 ,515.00 ,211847.00 ,3476.00 ,264
033,Blandford,2017,108148700.00 ,511.00 ,211641.00 ,3585.00 ,
034,Bolton,2009,776630900.00 ,1558.00 ,498479.00 ,7931.00 ,21
034,Bolton,2010,760691300.00 ,1568.00 ,485135.00 ,8543.00 ,17
034,Bolton,2011,717393600.00 ,1574.00 ,455777.00 ,8851.00 ,17
034,Bolton,2012,717826000.00 ,1574.00 ,456052.00 ,9021.00 ,18
034,Bolton,2013,700456800.00 ,1586.00 ,441650.00 ,9257.00 ,19
034,Bolton,2014,715772400.00 ,1602.00 ,446799.00 ,9472.00 ,19
034,Bolton,2015,743449500.00 ,1621.00 ,458636.00 ,9622.00 ,19
034,Bolton,2016,776070900.00 ,1635.00 ,474661.00 ,9925.00 ,21
034,Bolton,2017,803546800.00 ,1657.00 ,484941.00 ,10281.00 ,
035,Boston,2009,,,,,
035,Boston,2010,,,,,
035,Boston,2011,,,,,
035,Boston,2012,,,,,
035,Boston,2013,,,,,
035,Boston,2014,,,,,
035,Boston,2015,,,,,
035,Boston,2016,,,,,
035,Boston,2017,,,,,
036,Bourne,2009,3409268200.00 ,7608.00 ,448116.00 ,3303.00 ,198
036,Bourne,2010,3406403080.00 ,7627.00 ,446624.00 ,3368.00 ,203
036,Bourne,2011,3228825000.00 ,7642.00 ,422510.00 ,3469.00 ,207
036,Bourne,2012,2980528140.00 ,7656.00 ,389306.00 ,3550.00 ,216
036,Bourne,2013,2987357430.00 ,7671.00 ,389435.00 ,3680.00 ,210
036,Bourne,2014,3006323160.00 ,7685.00 ,391194.00 ,3787.00 ,210
036,Bourne,2015,2996838540.00 ,7708.00 ,388796.00 ,3915.00 ,217
036,Bourne,2016,3083838310.00 ,7730.00 ,398944.00 ,4053.00 ,214
036,Bourne,2017,3218668230.00 ,7755.00 ,415044.00 ,4275.00 ,
037,Boxborough,2009,636487100.00 ,1166.00 ,545872.00 ,8101.00 ,18
037,Boxborough,2010,590909600.00 ,1167.00 ,506349.00 ,8370.00 ,19
037,Boxborough,2011,594419900.00 ,1172.00 ,507184.00 ,8815.00 ,18
037,Boxborough,2012,595535800.00 ,1172.00 ,508136.00 ,9080.00 ,17
037,Boxborough,2013,598721000.00 ,1174.00 ,509984.00 ,9022.00 ,21
037,Boxborough,2014,593668200.00 ,1175.00 ,505250.00 ,8938.00 ,23
037,Boxborough,2015,626528700.00 ,1179.00 ,531407.00 ,8848.00 ,30
037,Boxborough,2016,652200700.00 ,1188.00 ,548990.00 ,8981.00 ,31
037,Boxborough,2017,672809500.00 ,1195.00 ,563021.00 ,9464.00 ,
038,Boxford,2009,1702254900.00 ,2630.00 ,647245.00 ,7612.00 ,26
038,Boxford,2010,1631264400.00 ,2638.00 ,618372.00 ,7649.00 ,28
038,Boxford,2011,1515602800.00 ,2641.00 ,573875.00 ,7868.00 ,28
038,Boxford,2012,1504042200.00 ,2642.00 ,569282.00 ,8021.00 ,28
038,Boxford,2013,1471126900.00 ,2639.00 ,557456.00 ,8295.00 ,28
038,Boxford,2014,1450936000.00 ,2642.00 ,549181.00 ,8496.00 ,30
038,Boxford,2015,1519326600.00 ,2645.00 ,574415.00 ,9185.00 ,25
038,Boxford,2016,1562214000.00 ,2647.00 ,590183.00 ,9714.00 ,23
038,Boxford,2017,1613271400.00 ,2655.00 ,607635.00 ,9911.00 ,
